Trading Day,Prediction Type,Price
2020-03-14,WE,9.9
2020-03-15,WE,9.9
2020-03-16,DA,10.06
2020-03-17,DA,9.289
2020-03-18,DA,9.149
2020-03-19,DA,9.061
2020-03-20,DA,9.363
2020-03-21,WE,9.183
2020-03-22,WE,9.183
2020-03-23,DA,9.219
2020-03-24,DA,8.946
2020-03-25,DA,8.732
2020-03-26,DA,8.676
2020-03-27,DA,8.496
2020-03-28,WE,8.391
2020-03-29,WE,8.391
2020-03-30,DA,8.463
2020-03-31,DA,7.999
2020-04-01,DA,8.239
2020-04-02,DA,8.089
2020-04-03,DA,8.05
2020-04-04,WE,8.145
2020-04-05,WE,8.145
2020-04-06,DA,8.208
2020-04-07,DA,8.417
2020-04-08,DA,8.48
2020-04-09,DA,8.429
2020-04-10,WE,8.43
2020-04-13,WE,8.43
2020-04-14,DA,8.535
2020-04-15,DA,8.211
2020-04-16,DA,8.153
2020-04-17,DA,8.248
2020-04-18,WE,8.41
2020-04-19,WE,8.41
2020-04-20,DA,8.421
2020-04-21,DA,8.242
2020-04-22,DA,7.847
2020-04-23,DA,7.833
2020-04-24,DA,7.696
2020-04-25,WE,7.449
2020-04-26,WE,7.449
2020-04-27,DA,7.457
2020-04-28,DA,7.642
