Trading Day,Month+1,Month+2,Month+3,Month+4,Month+5,Quarter+1,Quarter+2,Quarter+3,Quarter+4,Season+1,Season+2,Season+3,Season+4,Calendar+1,Calendar+2
2020-02-17,9.91,9.946,10.333,11.029000000000002,,10.435,11.046,15.995,15.84,10.742,15.918,15.877,20.108,17.067999999999998,18.717
2020-02-18,9.972000000000001,9.868,10.282,10.886,,10.349,10.905,15.796,15.595,10.629000000000001,15.697000000000001,15.632,19.730999999999998,16.773,18.511
2020-02-19,10.129,9.81,10.146,10.755999999999998,,10.236,10.751,15.547,15.321,10.495,15.435,15.450999999999999,19.437,16.592,18.276
2020-02-20,10.156,9.942,10.163,10.743,,10.280999999999999,10.767000000000001,15.377,15.169,10.525,15.274000000000001,15.22,19.352,16.465999999999998,18.097
2020-02-21,9.972999999999999,9.571,9.931000000000001,10.629000000000001,,10.042,10.585999999999999,15.286,15.015,10.315,15.152000000000001,15.062999999999999,19.03,16.175,17.839000000000002
2020-02-24,9.62,9.193999999999999,9.476,9.94,,9.536,9.999,14.671,14.384,9.769,14.529000000000002,14.562999999999999,18.637,15.661,17.48
2020-02-25,9.56,9.073,9.339,9.875,,9.424,9.947000000000001,14.591,14.299000000000001,9.687000000000001,14.447000000000001,14.435,18.52,15.57,17.497
2020-02-26,9.722999999999999,9.236,9.504,10.044,,9.594,10.074,14.664000000000001,14.35,9.835,14.509,14.588,18.727999999999998,15.651,17.477
2020-02-27,9.52,9.0,9.222999999999999,9.645,,9.289,9.762,14.306,13.949000000000002,9.527000000000001,14.129000000000001,14.267999999999999,18.273,15.277999999999999,17.112000000000002
2020-02-28,9.111,9.316,9.783999999999999,9.899,,9.402999999999999,9.899,14.42,14.120999999999999,9.652000000000001,14.272,14.328,18.344,15.345999999999998,17.13
2020-03-02,9.068,9.3,9.845,9.908999999999999,,9.402999999999999,9.908999999999999,14.494000000000002,14.134,9.657,14.315999999999999,14.345999999999998,18.325,15.401,17.160999999999998
2020-03-03,9.435,9.657,10.167,10.18,,9.752,10.238,14.868,14.623,9.996,14.747,14.776,18.852999999999998,15.831,17.529
2020-03-04,9.093,9.382,9.943,10.113,,9.472000000000001,10.0,14.763,14.529000000000002,9.737,14.647,14.672,18.782,15.749,17.609
2020-03-05,9.062999999999999,9.333,9.867,9.943999999999999,,9.42,10.0,14.716,14.498,9.712,14.607999999999999,14.502,18.651,15.668,17.458
2020-03-06,8.805,9.202,9.665,9.752,,9.224,9.745,14.322000000000001,14.008,9.486,14.167,14.085999999999999,18.142,15.147,16.977999999999998
2020-03-09,8.838,9.158,9.661,9.734,,9.218,9.632,13.827,13.449000000000002,9.426,13.64,13.488,17.514,14.575999999999999,16.298
2020-03-10,9.181000000000001,9.426,9.956,10.03,,9.52,9.937000000000001,14.151,13.9,9.73,14.027000000000001,13.763,17.684,14.85,16.417
2020-03-11,9.607000000000001,9.734,10.319,10.427,,9.885,10.16,14.177999999999999,13.809000000000001,10.023,13.995999999999999,13.734000000000002,17.505,14.870999999999999,16.262
2020-03-12,9.491,9.677,10.158999999999999,10.294,,9.775,10.112,13.873,13.454,9.943999999999999,13.665999999999999,13.244000000000002,17.09,14.392000000000001,15.944
2020-03-13,9.482999999999999,9.559,10.037,10.242,,9.692,10.04,13.870999999999999,13.515,9.867,13.695,13.347000000000001,17.088,14.499,15.997
2020-03-16,8.982999999999999,9.059,9.537,9.756,,9.192,9.558,13.139000000000001,13.139000000000001,9.378,13.139000000000001,13.049000000000001,16.769000000000002,14.165,15.675
2020-03-17,8.668,8.802999999999999,9.325,9.511000000000001,,8.931000000000001,9.335,13.07,12.808,9.134,12.94,12.843,16.615,13.927,15.462
2020-03-18,8.552,8.676,9.207,9.342,,8.81,9.252,12.687999999999999,12.399000000000001,9.032,12.545,12.409,16.182000000000002,13.545,15.142999999999999
2020-03-19,8.783,8.943,9.436,9.587,,9.052999999999999,9.432,12.478,12.754000000000001,9.244,12.614,12.402000000000001,16.261,12.85,15.1
2020-03-20,8.544,8.658999999999999,9.099,9.529,,8.766,9.522,12.192,12.993,9.146,12.588,12.189,15.537,13.102,14.793
2020-03-23,8.042,8.242,8.809,8.947000000000001,,8.363,8.927,12.072000000000001,12.555,8.647,12.311,12.0,15.4,13.027999999999999,14.9
2020-03-24,8.201,8.366,8.514,9.112,,8.36,9.147,12.190999999999999,13.015,8.756,12.597999999999999,12.36,16.11,13.07,15.315999999999999
2020-03-25,8.026,8.222000000000001,8.606,9.12,,8.283999999999999,9.112,12.442,13.127,8.7,12.780999999999999,12.564,16.1,13.380999999999998,15.463
2020-03-26,7.565,7.771,8.066,8.99,,7.8,9.173,12.224,12.929,8.49,12.573,11.704,16.122,12.902999999999999,15.562000000000001
2020-03-27,7.41,7.599,7.917000000000001,8.69,,7.642,8.732000000000001,11.989,12.729000000000001,8.19,12.355,11.949000000000002,15.950999999999999,12.904000000000002,15.267000000000001
2020-03-30,7.19,7.028,7.415,8.384,8.503,7.682,11.665999999999999,12.514000000000001,11.589,12.085,11.818,15.5,14.745,12.556,15.104000000000001
2020-03-31,7.172000000000001,7.505,8.472000000000001,8.58,,8.322000000000001,11.855,12.6,11.69,12.222999999999999,11.710999999999999,15.58,14.84,12.708,15.283
